ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,InvetrerCost,NoOfInveters ,NoOfPanels,Tags,SolarSystem
241-420,3.5kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,216000,1,7,241-420 On Grid Jinko Solar China Growatt China No battery ,3.5kW On Grid | 7 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 538000
421-480,4kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,340000,1,8,421-480 On Grid Jinko Solar China Growatt China No battery ,4kW On Grid | 8 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 708000
481-600,5kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,420000,1,10,481-600 On Grid Jinko Solar China Growatt China No battery ,5kW On Grid | 10 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 880000
601-900,7.5kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,540000,1,17,601-900 On Grid Jinko Solar China Growatt China No battery ,7.5kW On Grid | 17 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 1322000
901-960,8kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,580000,1,18,901-960 On Grid Jinko Solar China Growatt China No battery ,8kW On Grid | 18 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 1408000
961-1200,10kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,630000,1,20,961-1200 On Grid Jinko Solar China Growatt China No battery ,10kW On Grid | 20 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 1550000
1201-1800,15kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,580000,2,30,1201-1800 On Grid Jinko Solar China Growatt China No battery ,15kW On Grid | 30 solar panel- Jinko Solar China | 2 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 2540000
1801-2400,20kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,630000,2,40,1801-2400 On Grid Jinko Solar China Growatt China No battery ,20kW On Grid | 40 solar panel- Jinko Solar China | 2 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 3100000
2401-3600,30kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,630000,3,60,2401-3600 On Grid Jinko Solar China Growatt China No battery ,30kW On Grid | 60 solar panel- Jinko Solar China | 3 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 4650000
3601-4800,40kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,630000,4,80,3601-4800 On Grid Jinko Solar China Growatt China No battery ,40kW On Grid | 80 solar panel- Jinko Solar China | 4 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 6200000
4801-6000,50kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,630000,5,100,4801-6000 On Grid Jinko Solar China Growatt China No battery ,50kW On Grid | 100 solar panel- Jinko Solar China | 5 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 7750000
6001-7200,60kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,630000,6,120,6001-7200 On Grid Jinko Solar China Growatt China No battery ,60kW On Grid | 120 solar panel- Jinko Solar China | 6 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 9300000
0-120,1kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,74000,1,2,0-120 On Grid Canadian Solar Canada Goodwee China No battery ,1kW On Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 182000
121-240,2kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,110000,1,4,121-240 On Grid Canadian Solar Canada Goodwee China No battery ,2kW On Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 326000
241-420,3.5kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,210000,1,7,241-420 On Grid Canadian Solar Canada Goodwee China No battery ,3.5kW On Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 588000
421-480,4kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,300000,1,8,421-480 On Grid Canadian Solar Canada Goodwee China No battery ,4kW On Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 732000
481-600,5kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,410000,1,10,481-600 On Grid Canadian Solar Canada Goodwee China No battery ,5kW On Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 950000
601-900,7.5kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,520000,1,17,601-900 On Grid Canadian Solar Canada Goodwee China No battery ,7.5kW On Grid | 17 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 1438000
901-960,8kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,560000,1,18,901-960 On Grid Canadian Solar Canada Goodwee China No battery ,8kW On Grid | 18 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 1532000
961-1200,10kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,620000,1,20,961-1200 On Grid Canadian Solar Canada Goodwee China No battery ,10kW On Grid | 20 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 1700000
1201-1800,15kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,520000,2,30,1201-1800 On Grid Canadian Solar Canada Goodwee China No battery ,15kW On Grid | 30 solar panel- Canadian Solar Canada | 2 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 2660000
1801-2400,20kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,620000,2,40,1801-2400 On Grid Canadian Solar Canada Goodwee China No battery ,20kW On Grid | 40 solar panel- Canadian Solar Canada | 2 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 3400000
2401-3600,30kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,620000,3,60,2401-3600 On Grid Canadian Solar Canada Goodwee China No battery ,30kW On Grid | 60 solar panel- Canadian Solar Canada | 3 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 5100000
3601-4800,40kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,620000,4,80,3601-4800 On Grid Canadian Solar Canada Goodwee China No battery ,40kW On Grid | 80 solar panel- Canadian Solar Canada | 4 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 6800000
4801-6000,50kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,620000,5,100,4801-6000 On Grid Canadian Solar Canada Goodwee China No battery ,50kW On Grid | 100 solar panel- Canadian Solar Canada | 5 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 8500000
6001-7200,60kW,On Grid,Canadian Solar Canada,Goodwee China,No battery ,0,620000,6,120,6001-7200 On Grid Canadian Solar Canada Goodwee China No battery ,60kW On Grid | 120 solar panel- Canadian Solar Canada | 6 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 10200000
0-120,1kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,94000,1,2,0-120 On Grid Canadian Solar Canada SMA Germany  No battery ,1kW On Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 202000
121-240,2kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,140000,1,4,121-240 On Grid Canadian Solar Canada SMA Germany  No battery ,2kW On Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 356000
241-420,3.5kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,260000,1,7,241-420 On Grid Canadian Solar Canada SMA Germany  No battery ,3.5kW On Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 638000
421-480,4kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,370000,1,8,421-480 On Grid Canadian Solar Canada SMA Germany  No battery ,4kW On Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 802000
481-600,5kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,490000,1,10,481-600 On Grid Canadian Solar Canada SMA Germany  No battery ,5kW On Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1030000
601-900,7.5kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,580000,1,17,601-900 On Grid Canadian Solar Canada SMA Germany  No battery ,7.5kW On Grid | 17 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1498000
901-960,8kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,650000,1,18,901-960 On Grid Canadian Solar Canada SMA Germany  No battery ,8kW On Grid | 18 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1622000
961-1200,10kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,780000,1,20,961-1200 On Grid Canadian Solar Canada SMA Germany  No battery ,10kW On Grid | 20 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1860000
1201-1800,15kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,580000,2,30,1201-1800 On Grid Canadian Solar Canada SMA Germany  No battery ,15kW On Grid | 30 solar panel- Canadian Solar Canada | 2 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 2780000
1801-2400,20kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,780000,2,40,1801-2400 On Grid Canadian Solar Canada SMA Germany  No battery ,20kW On Grid | 40 solar panel- Canadian Solar Canada | 2 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 3720000
2401-3600,30kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,780000,3,60,2401-3600 On Grid Canadian Solar Canada SMA Germany  No battery ,30kW On Grid | 60 solar panel- Canadian Solar Canada | 3 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 5580000
3601-4800,40kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,780000,4,80,3601-4800 On Grid Canadian Solar Canada SMA Germany  No battery ,40kW On Grid | 80 solar panel- Canadian Solar Canada | 4 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 7440000
4801-6000,50kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,780000,5,100,4801-6000 On Grid Canadian Solar Canada SMA Germany  No battery ,50kW On Grid | 100 solar panel- Canadian Solar Canada | 5 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 9300000
6001-7200,60kW,On Grid,Canadian Solar Canada,SMA Germany ,No battery ,0,780000,6,120,6001-7200 On Grid Canadian Solar Canada SMA Germany  No battery ,60kW On Grid | 120 solar panel- Canadian Solar Canada | 6 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 11160000
0-120,1kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,91000,1,2,0-120 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,1kW On Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 199000
121-240,2kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,130000,1,4,121-240 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,2kW On Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 346000
241-420,3.5kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,220000,1,7,241-420 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,3.5kW On Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 598000
421-480,4kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,310000,1,8,421-480 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,4kW On Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 742000
481-600,5kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,410000,1,10,481-600 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,5kW On Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 950000
601-900,7.5kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,540000,1,17,601-900 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,7.5kW On Grid | 17 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 1458000
901-960,8kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,640000,1,18,901-960 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,8kW On Grid | 18 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 1612000
961-1200,10kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,760000,1,20,961-1200 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,10kW On Grid | 20 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 1840000
1201-1800,15kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,540000,2,30,1201-1800 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,15kW On Grid | 30 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 2700000
1801-2400,20kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,760000,2,40,1801-2400 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,20kW On Grid | 40 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 3680000
2401-3600,30kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,760000,3,60,2401-3600 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,30kW On Grid | 60 solar panel- Canadian Solar Canada | 3 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 5520000
3601-4800,40kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,760000,4,80,3601-4800 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,40kW On Grid | 80 solar panel- Canadian Solar Canada | 4 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 7360000
4801-6000,50kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,760000,5,100,4801-6000 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,50kW On Grid | 100 solar panel- Canadian Solar Canada | 5 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 9200000
6001-7200,60kW,On Grid,Canadian Solar Canada,CanadainSolar Canada,No battery ,0,760000,6,120,6001-7200 On Grid Canadian Solar Canada CanadainSolar Canada No battery ,60kW On Grid | 120 solar panel- Canadian Solar Canada | 6 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 11040000
0-120,1kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,73000,1,2,0-120 On Grid Canadian Solar Canada Growatt China No battery ,1kW On Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 181000
121-240,2kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,105000,1,4,121-240 On Grid Canadian Solar Canada Growatt China No battery ,2kW On Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 321000
241-420,3.5kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,216000,1,7,241-420 On Grid Canadian Solar Canada Growatt China No battery ,3.5kW On Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 594000
421-480,4kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,340000,1,8,421-480 On Grid Canadian Solar Canada Growatt China No battery ,4kW On Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 772000
481-600,5kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,420000,1,10,481-600 On Grid Canadian Solar Canada Growatt China No battery ,5kW On Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 960000
601-900,7.5kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,540000,1,17,601-900 On Grid Canadian Solar Canada Growatt China No battery ,7.5kW On Grid | 17 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 1458000
901-960,8kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,580000,1,18,901-960 On Grid Canadian Solar Canada Growatt China No battery ,8kW On Grid | 18 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 1552000
961-1200,10kW,On Grid,Canadian Solar Canada,Growatt China,No battery ,0,630000,1,20,961-1200 On Grid Canadian Solar Canada Growatt China No battery ,10kW On Grid | 20 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 1710000
